"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\React——Editor\server\src\auth\strategies\github.strategy.ts", "TypeScript", 0, 0, 20, 0, 0, 4, 2, 26
"c:\Users\Lenovo\Desktop\React——Editor\server\src\auth\strategies\jwt.strategy.ts", "TypeScript", 0, 0, 27, 0, 0, 2, 2, 31
"c:\Users\Lenovo\Desktop\React——Editor\server\src\auth\strategies\local.startegy.ts", "TypeScript", 0, 0, 17, 0, 0, 1, 4, 22
"c:\Users\Lenovo\Desktop\React——Editor\server\src\chat\chat.gateway.ts", "TypeScript", 0, 0, 158, 0, 0, 45, 37, 240
"c:\Users\Lenovo\Desktop\React——Editor\server\src\chat\chat.module.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\Lenovo\Desktop\React——Editor\server\src\chat\yjs-document.service.ts", "TypeScript", 0, 0, 62, 0, 0, 16, 6, 84
"c:\Users\Lenovo\Desktop\React——Editor\server\src\dto\login.user.dto.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\Lenovo\Desktop\React——Editor\server\src\dto\register.user.dto.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 5, 18
"c:\Users\Lenovo\Desktop\React——Editor\server\src\main.ts", "TypeScript", 0, 0, 32, 0, 0, 5, 5, 42
"c:\Users\Lenovo\Desktop\React——Editor\server\src\ormcofig.ts", "TypeScript", 0, 0, 14, 0, 0, 3, 3, 20
"c:\Users\Lenovo\Desktop\React——Editor\server\src\user\entities\user.entitiey.ts", "TypeScript", 0, 0, 33, 0, 0, 4, 11, 48
"c:\Users\Lenovo\Desktop\React——Editor\server\src\user\user.controller.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 3, 18
"c:\Users\Lenovo\Desktop\React——Editor\server\src\user\user.module.ts", "TypeScript", 0, 0, 12, 0, 0, 1, 2, 15
"c:\Users\Lenovo\Desktop\React——Editor\server\src\user\user.service.ts", "TypeScript", 0, 0, 75, 0, 0, 9, 10, 94
"c:\Users\Lenovo\Desktop\React——Editor\server\test\app.e2e-spec.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\Lenovo\Desktop\React——Editor\server\test\jest-e2e.json", "JSON", 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Lenovo\Desktop\React——Editor\server\tsconfig.build.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Lenovo\Desktop\React——Editor\server\tsconfig.json", "JSON with Comments", 25, 0, 0, 0, 0, 0, 1, 26
"Total", "-", 25, 11373, 830, 1015, 32, 200, 518, 13993
